category,term,definition,context,frequency,trend,trend_label,featured,full_name,formula,current_value,current_value_period,current_value_color,chart_label,chart_type,chart_data,stat1_label,stat1_value,stat1_sub,stat1_color,stat2_label,stat2_value,stat2_sub,stat2_color,insight,source,back_source_label,back_title
Employment,JOLTS,"JOLTS counts how many job openings exist across the U.S. economy at month-end, plus how many workers were hired, quit, or laid off. It paints a picture of labor market dynamics, not just the headline count.","Fed Chair Powell watches JOLTS closely. When workers quit readily, it means they're confident they can find better jobs — a sign of a hot labor market that could sustain wage inflation.",Published: Monthly (2-month lag),down,↓ Cooling,,Job Openings & Labor Turnover Survey,"Key ratio: Job Openings ÷ Unemployed WorkersRatio > 1.0 → more jobs than people looking → tight marketThe ""Quits Rate"" — voluntary resignations — is the Fed's favorite confidence gauge",7.7M,Dec 2025,red,Job Openings (millions) — Monthly,bar,"[{""label"":""Sep '25"",""value"":8.1,""displayValue"":""8.1M""},{""label"":""Oct '25"",""value"":7.9,""displayValue"":""7.9M""},{""label"":""Nov '25"",""value"":7.8,""displayValue"":""7.8M""},{""label"":""Dec '25"",""value"":7.7,""displayValue"":""7.7M""}]",Quits Rate,2.0%,↓ from 2.4% peak,red,Openings per Unemployed,1.4×,Still above 1:1,blue,"The quits rate at 2.0% — down from a 2.4% peak — signals workers feel less confident about jumping to new jobs. This reduces wage growth pressure, which is exactly what the Fed wants to see before cutting rates. A soft landing means openings cool gradually, not collapse.",U.S. Bureau of Labor Statistics,Latest Data · BLS,JOLTS Job Openings — Current
Employment,Claims,Initial jobless claims counts the number of Americans who filed for unemployment benefits for the first time in a given week. It's the most timely labor market indicator available — data is just one week old.,"Released every Thursday morning, claims move markets immediately. The 4-week moving average smooths out holiday noise and weather distortions — it's the number economists focus on, not the weekly print.",Published: Weekly (every Thursday),flat,→ Stable,,Initial Jobless Claims (Weekly),"< 250K/week → healthy labor market250–350K → softening, watch closely> 350K sustained → recession-level job losses",220K,"Week of Mar 1, 2026",green,Weekly Initial Claims — Last 4 Weeks,bar,"[{""label"":""Feb 8"",""value"":215,""displayValue"":""215K""},{""label"":""Feb 15"",""value"":218,""displayValue"":""218K""},{""label"":""Feb 22"",""value"":221,""displayValue"":""221K""},{""label"":""Mar 1"",""value"":220,""displayValue"":""220K""}]",4-Week Average,219K,Historically low,green,Recession Threshold,350K+,Far from danger zone,gray,"Claims near 220K remain historically low — the labor market isn't cracking. As long as claims stay below 250K, the economy is generating more jobs than it's losing. Watch for sustained moves above 260–280K as an early warning signal worth acting on.",U.S. Dept. of Labor,Latest Data · DOL,Initial Claims — Current
Macro Indicators,Retail Sales,"Retail Sales measures total receipts at stores that sell consumer goods — from auto dealers to online retailers to gas stations. It is the most direct monthly read on consumer spending, which drives ~70% of U.S. GDP.","Because consumer spending is the economy's engine, retail sales moves can shift Fed expectations instantly. A sustained softening signals demand destruction; a rebound signals resilience.",Published: Monthly (~mid-month),flat,→ Mixed,,U.S. Advance Retail Sales (MoM),"Reported month-over-month (MoM) — a positive print means consumers spent more""Control group"" (ex-auto, gas, building materials) is what flows directly into GDP calculations",+0.2%,Jan 2026,blue,Retail Sales MoM % Change — Recent,bar_sign,"[{""label"":""Oct '25"",""value"":0.4,""displayValue"":""+0.4%""},{""label"":""Nov '25"",""value"":0.8,""displayValue"":""+0.8%""},{""label"":""Dec '25"",""value"":-0.9,""displayValue"":""-0.9%""},{""label"":""Jan '26"",""value"":0.2,""displayValue"":""+0.2%""}]",Ex-Auto & Gas,+0.8%,Core strength,green,Consumer Share of GDP,~70%,Economy's engine,gray,December's −0.9% was weather and post-holiday payback; January's modest rebound signals consumers are still spending — just cautiously. The ex-auto control group at +0.8% is the cleanest signal of underlying demand. Consumer resilience supports earnings for discretionary and retail ETFs.,U.S. Census Bureau,Latest Data · Census Bureau,Retail Sales MoM — Current
Macro Indicators,Housing Starts,"Housing Starts counts the number of new residential construction projects begun in a given month, reported as an annualized rate. It measures the pulse of homebuilding activity across the U.S.","Housing is one of the most interest-rate-sensitive sectors in the economy. When rates rise, starts fall; when rates fall, starts recover. Watching housing starts tells you whether rate policy is actually filtering through to the real economy.",Published: Monthly (~3rd week),down,↓ Subdued,,New Residential Construction (Annualized),Starts > 1.5M annualized → healthy construction paceBuilding Permits (released same day) lead Starts by 1–2 monthsHighly sensitive to mortgage rates — the rate-cut barometer,1.37M,Jan 2026 · Annualized,red,"Housing Starts (millions, annualized) — Monthly",bar,"[{""label"":""Oct '25"",""value"":1.31,""displayValue"":""1.31M""},{""label"":""Nov '25"",""value"":1.29,""displayValue"":""1.29M""},{""label"":""Dec '25"",""value"":1.50,""displayValue"":""1.50M""},{""label"":""Jan '26"",""value"":1.37,""displayValue"":""1.37M""}]",Building Permits,1.48M,Leading indicator,blue,30Y Mortgage Rate,6.9%,Constraining demand,red,"Housing is stuck — constrained by 6.9% mortgage rates that keep both builders and buyers cautious. A meaningful recovery needs the 10Y Treasury to fall toward 3.5–4.0%. When housing starts recover, it will confirm that Fed rate cuts are working — a bullish signal for homebuilder and REIT ETFs.",U.S. Census Bureau / HUD,Latest Data · Census Bureau / HUD,Housing Starts — Current
Markets,Credit Spreads,A credit spread is the extra yield investors demand on corporate bonds above equivalent U.S. Treasury yields. It represents the price of default risk — how much extra return the market requires to lend to companies instead of the government.,Credit spreads widen before recessions as investors price in rising default risk. They are a leading indicator of financial stress — often signaling trouble before it shows up in GDP or unemployment data.,Updated: Daily,up,↑ Widening,,High Yield & Investment Grade Bond Spreads,"Tight spreads (<300 bps HY) → market calm, credit conditions easyWide spreads (>500 bps HY) → stress, tightening financial conditionsIG spreads typically run 80–150 bps; HY spreads 250–600 bps in normal cycles",380 bps,Mar 2026 · Widening,red,High Yield OAS — Monthly (basis points),bar,"[{""label"":""Nov '25"",""value"":310,""displayValue"":""310""},{""label"":""Dec '25"",""value"":330,""displayValue"":""330""},{""label"":""Jan '26"",""value"":355,""displayValue"":""355""},{""label"":""Feb '26"",""value"":380,""displayValue"":""380""}]",IG Spread,105 bps,Investment grade,blue,Historical HY Avg,~400 bps,Near average now,gray,"Spreads widening to 380 bps signals rising corporate stress — but still below the ~500 bps level that historically precedes recessions. For ETF investors, widening HY spreads are a reason to reduce exposure to junk bond funds (HYG, JNK) and favor investment-grade or Treasury ETFs until the trend reverses.",ICE BofA / FRED,Latest Data · ICE BofA / FRED,HY Credit Spread — Current
Central Banks,Real Rate,"The real interest rate strips out inflation from the nominal rate, showing what borrowers and savers actually earn or pay in purchasing-power terms. It tells you whether monetary policy is truly restrictive or just nominally high.","During 2022–23, the Fed raised the FFR sharply while inflation ran above it — keeping the real rate negative and policy looser than it appeared. Only when the FFR exceeded inflation did policy become truly restrictive. The neutral real rate is estimated at ~0.5%.",Derived: Monthly (FFR − Core PCE),flat,→ Elevated,,Real Interest Rate (FFR minus Core PCE),"Real Rate = Nominal Rate − Inflation (Core PCE)Positive real rate → policy is genuinely restrictiveNegative real rate → policy is stimulative (money is ""cheap"")",+1.58%,Jan 2026 · Restrictive,red,Rate Decomposition — Jan 2026,none,,Neutral Real Rate,~0.5%,Fed's r-star estimate,gray,Policy Stance,Restrictive,+1.08% above neutral,red,"A real rate of +1.58% — well above the neutral ~0.5% — means policy is genuinely restrictive: borrowing is expensive in real terms, suppressing investment and spending. As inflation falls or the Fed cuts, the real rate will ease — that's the moment to expect a broader risk-asset rally and recovery in rate-sensitive sectors.",Federal Reserve / BEA,Derived · Fed / BEA,Real Interest Rate — Current
Macro Indicators,Consumer Confidence,"The Conference Board surveys ~3,000 households monthly, asking how they feel about current business conditions, the job market, and their expectations six months ahead. It produces an index benchmarked to 100 (1985 baseline).","Consumer confidence drives spending, which drives ~70% of GDP. When it falls sharply, watch retail and consumer discretionary ETFs. The gap between Present Situation and Expectations is often more revealing than the headline number.",Published: Monthly (last Tuesday),down,↓ Declining,,Conference Board Consumer Confidence Index,Two components:Present Situation Index — how things feel right nowExpectations Index — outlook for jobs and income in 6 monthsWhen Present > Expectations: consumers confident today but worried about tomorrow,98.3,Feb 2026,red,Consumer Confidence Index — Monthly,bar,"[{""label"":""Nov '25"",""value"":111.7,""displayValue"":""111.7""},{""label"":""Dec '25"",""value"":104.7,""displayValue"":""104.7""},{""label"":""Jan '26"",""value"":105.3,""displayValue"":""105.3""},{""label"":""Feb '26"",""value"":98.3,""displayValue"":""98.3""}]",Present Situation,138.1,Conditions feel good,green,Expectations,72.9,Worried about future,red,The Present–Expectations gap is wide: consumers feel fine today but are anxious about the next 6 months. This divergence often precedes a pullback in discretionary spending. Watch consumer staples ETFs (XLP) as a defensive tilt when confidence drops sharply.,Conference Board,Latest Data · Conference Board,Consumer Confidence — Current
Macro Indicators,Michigan Sentiment,"The U of Michigan surveys ~500 households twice a month, measuring how Americans feel about their personal finances, buying conditions, and economic outlook. Released in preliminary and final form, it is the Fed's preferred sentiment gauge.","Unlike the Conference Board's measure, Michigan captures inflation psychology directly. When consumers expect high inflation, they demand higher wages and spend faster — creating the very inflation they fear. The Fed watches this feedback loop carefully.",Published: Monthly (preliminary & final),down,↓ Declining,,University of Michigan Consumer Sentiment Index,"Index range: 0–100 (1964 baseline = 100)Includes a crucial sub-measure: 1-year and 5-year inflation expectationsFed watches these expectations closely — if they become ""unanchored,"" the Fed must act",71.8,Feb 2026,red,Michigan Sentiment Index — Monthly,bar,"[{""label"":""Nov '25"",""value"":71.8,""displayValue"":""71.8""},{""label"":""Dec '25"",""value"":74.0,""displayValue"":""74.0""},{""label"":""Jan '26"",""value"":71.1,""displayValue"":""71.1""},{""label"":""Feb '26"",""value"":64.7,""displayValue"":""64.7""}]",1-Year Inflation Expectation,2.8%,Slightly above 2% target,red,5-Year Inflation Expectation,2.5%,Anchored but rising,blue,"Michigan sentiment has fallen sharply from above 80 a year ago — consumers are genuinely worried about future inflation and earnings resilience. The 1-year inflation expectation at 2.8% is inching up, which is why the Fed remains cautious about cutting rates aggressively. Watch for further deterioration in the ""expectations"" component as a recession warning.",University of Michigan,Latest Data · U of Michigan,Michigan Sentiment — Current
Macro Indicators,Industrial Production,"Industrial Production measures the real output of manufacturing, mining, and utilities sectors — the ""physical economy"" that makes goods. Released monthly by the Federal Reserve, it's one of the four indicators the NBER uses to date recessions.","As the U.S. economy shifted to services, IP covers roughly 20% of GDP — but it's a leading indicator of business investment and hiring cycles in goods-producing industries, which punch above their weight in economic cycles.",Published: Monthly (~mid-month),flat,→ Mixed,,Industrial Production & Capacity Utilization (Fed),"Paired with Capacity Utilization: how much of the economy's factory capacity is in useUtilization > 80% → inflationary pressure (economy running hot)Utilization < 77% → slack exists, no inflation pressure",−0.1%,Jan 2026,red,Industrial Production % Change MoM — Recent,bar_sign,"[{""label"":""Oct '25"",""value"":0.3,""displayValue"":""+0.3%""},{""label"":""Nov '25"",""value"":0.2,""displayValue"":""+0.2%""},{""label"":""Dec '25"",""value"":0.9,""displayValue"":""+0.9%""},{""label"":""Jan '26"",""value"":-0.1,""displayValue"":""-0.1%""}]",Capacity Utilization,77.1%,Below 80% = no overheating,blue,Mfg Output,+0.1%,Slight positive,blue,"The January dip follows December's utilities surge — not a trend reversal. Capacity at 77.1% shows slack in the industrial economy, which is disinflationary — good for inflation expectations but suggests limited upside for industrial and materials ETFs (XLI, XLB) until demand accelerates.",Federal Reserve,Latest Data · Federal Reserve,Industrial Production MoM — Current
Macro Indicators,Durable Goods,"Durable Goods Orders measures new orders placed with U.S. manufacturers for items expected to last three or more years — aircraft, machinery, computers, autos, appliances. It's a forward-looking gauge of business investment intentions.","The ""core capital goods"" sub-component is what economists watch most closely — it captures whether businesses are ordering new equipment and machinery, a forward signal for productivity and growth.",Published: Monthly (~4th week),flat,→ Mixed,,Durable Goods Orders (Advance Estimate),"Headline: total durable goods orders (volatile — dominated by aircraft)Core: ex-transportation = steadier readCore Capital Goods (ex-defense, ex-aircraft) = best proxy for business investment plans",+3.1%,Jan 2026 · Headline,green,Durable Goods Orders % Change MoM — Recent,bar_sign,"[{""label"":""Oct '25"",""value"":-0.7,""displayValue"":""-0.7%""},{""label"":""Nov '25"",""value"":0.9,""displayValue"":""+0.9%""},{""label"":""Dec '25"",""value"":0.2,""displayValue"":""+0.2%""},{""label"":""Jan '26"",""value"":3.1,""displayValue"":""+3.1%""}]",Ex-Transportation,−0.3%,Underlying soft,red,Core Capital Goods,+0.1%,Business investment flat,blue,"The +3.1% headline surge was almost entirely Boeing aircraft orders — highly volatile, not repeatable. Strip that out and the picture is flat. Businesses aren't ramping capital investment yet, which limits upside for industrials ETFs but also means the economy isn't overheating.",U.S. Census Bureau,Latest Data · Census Bureau,Durable Goods Orders MoM — Current
Inflation,Breakeven Inflation,The breakeven inflation rate is what the bond market expects average annual inflation to be over the next 10 years. It's derived from the yield difference between regular Treasury bonds and TIPS (Treasury Inflation-Protected Securities).,"Unlike CPI or PCE, which measure inflation that has already happened, breakeven inflation shows what the market expects. It's a real-time signal watched by every fixed-income investor and Fed official daily.",Updated: Daily,up,↑ Rising,,10-Year TIPS Breakeven Inflation Rate,Breakeven Rate = 10Y Nominal Treasury Yield − 10Y TIPS Real YieldIf breakeven > Fed's 2% target → market doubts the Fed can hit its targetIf breakeven < 2% → market expects below-target inflation,2.31%,Mar 2026,red,10-Year TIPS Breakeven — Monthly,bar,"[{""label"":""Nov '25"",""value"":2.18},{""label"":""Dec '25"",""value"":2.22},{""label"":""Jan '26"",""value"":2.26},{""label"":""Feb '26"",""value"":2.31}]",5-Year Breakeven,2.48%,Near-term expectations higher,red,Fed Target,2.0%,Both above target,gray,"With breakevens rising above 2.3%, bond markets are signaling that inflation will stay above target for the next decade. This reduces the case for rate cuts and keeps pressure on long-duration bonds (TLT). TIPS themselves become attractive when breakevens are rising — they pay out more as inflation rises.",FRED / U.S. Treasury,Latest Data · FRED / U.S. Treasury,10Y Breakeven — Current
Inflation,Import Prices,"Import prices track how much U.S. businesses pay for goods purchased from abroad — everything from foreign electronics and clothing to oil and pharmaceuticals. Rising import prices mean inflation is being ""imported"" into the domestic economy.","With sweeping new tariffs in effect, import prices have become one of the most watched inflation gauges of 2025–26. The BLS releases both import and export price indexes together monthly.",Published: Monthly,up,↑ Rising,,U.S. Import & Export Price Index (BLS),Import Price Index → feeds into PPI within ~1 month → feeds into CPI within ~2–3 monthsKey driver: tariffs are import price increases by definition — a 10% tariff = 10% import price shock on affected goods,+0.4%,Jan 2026 · MoM,red,Import Prices % Change MoM — Recent,bar_sign,"[{""label"":""Oct '25"",""value"":0.1,""displayValue"":""+0.1%""},{""label"":""Nov '25"",""value"":-0.1,""displayValue"":""-0.1%""},{""label"":""Dec '25"",""value"":0.2,""displayValue"":""+0.2%""},{""label"":""Jan '26"",""value"":0.4,""displayValue"":""+0.4%""}]",YoY Import Prices,+2.2%,Accelerating,red,Ex-Petroleum,+1.8%,Tariff impact visible,red,"Rising import prices — partly tariff-driven — feed into producer and consumer prices within months. This is a second-wave inflation risk: even if demand is cooling, cost-push inflation from tariffs can keep CPI elevated regardless. Companies with heavy import exposure (retail, consumer goods) face margin pressure.",U.S. Bureau of Labor Statistics,Latest Data · BLS,Import Prices MoM — Current
